epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,7917.22,0.75798,0.41128,0.96281,0.91968,0.89726,0.91213,0.56062,1.40626,0.66193,1.41416,0.0012971,0.0012971,0.0012971
73,8028.82,0.80611,0.41045,0.98299,0.88721,0.91781,0.90193,0.5471,1.49553,0.68324,1.43135,0.0012872,0.0012872,0.0012872
74,8138.59,0.78367,0.40947,0.97296,0.8959,0.89041,0.89693,0.54894,1.46693,0.68123,1.41673,0.0012773,0.0012773,0.0012773
75,8247.49,0.73644,0.38927,0.94591,0.92184,0.88856,0.90291,0.55574,1.44463,0.68438,1.42327,0.0012674,0.0012674,0.0012674
76,8357.63,0.73621,0.39584,0.93535,0.91861,0.89726,0.92205,0.5369,1.54124,0.71222,1.49003,0.0012575,0.0012575,0.0012575
77,8466.78,0.72593,0.38813,0.93242,0.92245,0.89614,0.91794,0.55483,1.45433,0.7092,1.45367,0.0012476,0.0012476,0.0012476
78,8576.66,0.71668,0.37655,0.92032,0.91679,0.91781,0.91389,0.54788,1.49678,0.72156,1.47196,0.0012377,0.0012377,0.0012377
79,8686.41,0.75408,0.38882,0.9375,0.9037,0.90411,0.90594,0.56068,1.38829,0.6737,1.36808,0.0012278,0.0012278,0.0012278
80,8795.66,0.72609,0.41322,0.93908,0.91359,0.89726,0.90162,0.53521,1.46139,0.6667,1.46816,0.0012179,0.0012179,0.0012179
81,8904.56,0.71104,0.3798,0.93697,0.93419,0.86301,0.92402,0.55528,1.48384,0.68706,1.45744,0.001208,0.001208,0.001208
82,9014.17,0.71546,0.3779,0.93864,0.90742,0.93989,0.94399,0.58938,1.42503,0.62452,1.44236,0.0011981,0.0011981,0.0011981
83,9124.57,0.70984,0.37638,0.92592,0.90633,0.92778,0.93525,0.58094,1.39211,0.64194,1.40882,0.0011882,0.0011882,0.0011882
84,9234.21,0.69366,0.38426,0.92562,0.95541,0.89041,0.93029,0.56023,1.44916,0.65195,1.44896,0.0011783,0.0011783,0.0011783
85,9343.06,0.72138,0.37524,0.94179,0.92308,0.90414,0.91372,0.56315,1.36754,0.6366,1.36678,0.0011684,0.0011684,0.0011684
86,9452.76,0.67065,0.36841,0.92213,0.94668,0.90411,0.91447,0.56493,1.39824,0.68486,1.38897,0.0011585,0.0011585,0.0011585
87,9562.24,0.65646,0.35787,0.91693,0.94533,0.90411,0.91564,0.57283,1.37262,0.69613,1.36998,0.0011486,0.0011486,0.0011486
88,9671.61,0.68214,0.36671,0.91398,0.94531,0.91096,0.91219,0.57308,1.38459,0.66752,1.38398,0.0011387,0.0011387,0.0011387
89,9780.77,0.666,0.35959,0.92039,0.94069,0.91781,0.9155,0.58076,1.41164,0.65675,1.40765,0.0011288,0.0011288,0.0011288
90,9890.48,0.65066,0.35519,0.90597,0.94354,0.91569,0.91963,0.59427,1.39655,0.66919,1.39349,0.0011189,0.0011189,0.0011189
91,10000.9,0.62137,0.34732,0.89967,0.9418,0.89726,0.91883,0.5734,1.41661,0.67988,1.38521,0.001109,0.001109,0.001109
92,10111.1,0.7031,0.36547,0.92554,0.95223,0.87671,0.92259,0.55824,1.48303,0.702,1.41722,0.0010991,0.0010991,0.0010991
93,10221.3,0.64402,0.3513,0.91226,0.93138,0.90411,0.92011,0.56437,1.46427,0.70262,1.41273,0.0010892,0.0010892,0.0010892
94,10331.1,0.63339,0.34165,0.90192,0.92359,0.88356,0.90983,0.56567,1.46843,0.76167,1.4615,0.0010793,0.0010793,0.0010793
95,10440.4,0.62756,0.35024,0.89702,0.92202,0.89726,0.91385,0.56315,1.47812,0.71757,1.47549,0.0010694,0.0010694,0.0010694
96,10549.7,0.62652,0.3447,0.89922,0.93606,0.90245,0.91764,0.57157,1.4071,0.69362,1.39547,0.0010595,0.0010595,0.0010595
97,10658.9,0.62857,0.33858,0.89861,0.94316,0.90921,0.92304,0.587,1.39331,0.70485,1.36255,0.0010496,0.0010496,0.0010496
98,10769.2,0.59737,0.34017,0.89003,0.93344,0.92466,0.92911,0.58704,1.38167,0.69063,1.36358,0.0010397,0.0010397,0.0010397
99,10879.2,0.61182,0.33799,0.89714,0.92731,0.89726,0.92268,0.59323,1.36411,0.66571,1.36574,0.0010298,0.0010298,0.0010298
100,10989.7,0.62073,0.34042,0.90893,0.93698,0.91096,0.92167,0.5866,1.40889,0.68781,1.3902,0.0010199,0.0010199,0.0010199
