epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,22136.7,0.54892,0.29157,0.88558,0.77464,0.73112,0.83329,0.56452,1.29574,1.07224,1.36692,0.000192129,0.000192129,0.000192129
72,22441.5,0.51475,0.28326,0.8789,0.83574,0.73002,0.82833,0.56654,1.27551,1.0598,1.3836,0.000190674,0.000190674,0.000190674
73,22747.3,0.50724,0.27624,0.88059,0.75511,0.76496,0.83008,0.56107,1.32018,1.06501,1.44042,0.000189218,0.000189218,0.000189218
74,23051.6,0.51263,0.27803,0.88623,0.72677,0.80446,0.83152,0.57111,1.32148,1.00158,1.42612,0.000187763,0.000187763,0.000187763
75,23357.6,0.49728,0.27523,0.87345,0.80792,0.71195,0.8073,0.55341,1.32623,1.02999,1.41427,0.000186308,0.000186308,0.000186308
76,23662.6,0.48834,0.27371,0.86927,0.7013,0.73863,0.81453,0.56839,1.27677,1.06187,1.36721,0.000184853,0.000184853,0.000184853
77,23967,0.49686,0.27152,0.87121,0.81749,0.72678,0.83276,0.58571,1.25463,1.01917,1.34404,0.000183397,0.000183397,0.000183397
78,24271.2,0.48373,0.27162,0.86845,0.80846,0.75194,0.81562,0.56964,1.2463,1.01203,1.34991,0.000181942,0.000181942,0.000181942
79,24576,0.51942,0.28131,0.87818,0.86824,0.67466,0.80409,0.56117,1.25844,1.04757,1.34344,0.000180487,0.000180487,0.000180487
80,24881,0.51129,0.27601,0.87732,0.77102,0.6997,0.80802,0.56528,1.27132,1.05231,1.3559,0.000179031,0.000179031,0.000179031
81,25187.4,0.49288,0.26914,0.86599,0.72465,0.6995,0.78756,0.53347,1.27695,1.11564,1.35939,0.000177576,0.000177576,0.000177576
82,25492.1,0.47972,0.26164,0.8686,0.69786,0.75223,0.79608,0.55446,1.25531,1.0761,1.35608,0.000176121,0.000176121,0.000176121
83,25797.7,0.4573,0.26121,0.85938,0.75418,0.73929,0.81518,0.56345,1.28144,1.03802,1.38427,0.000174665,0.000174665,0.000174665
84,26102.4,0.48366,0.26702,0.86491,0.717,0.72621,0.81009,0.56443,1.28778,1.04281,1.34452,0.00017321,0.00017321,0.00017321
85,26407.2,0.5207,0.27054,0.87928,0.69756,0.81718,0.83157,0.55432,1.32245,1.03558,1.41974,0.000171755,0.000171755,0.000171755
86,26713.2,0.47611,0.26011,0.85534,0.70907,0.82375,0.84257,0.58736,1.31656,0.97426,1.41839,0.000170299,0.000170299,0.000170299
87,27019.6,0.45968,0.255,0.85545,0.71862,0.76643,0.83672,0.5803,1.31168,0.94011,1.42221,0.000168844,0.000168844,0.000168844
88,27323.9,0.45942,0.25263,0.85687,0.80392,0.71103,0.8301,0.58595,1.2591,0.92626,1.37514,0.000167389,0.000167389,0.000167389
89,27628.4,0.46865,0.25516,0.86154,0.68046,0.84891,0.82657,0.56914,1.28422,1.02145,1.42971,0.000165934,0.000165934,0.000165934
